,rank,discipline,yrs.since.phd,yrs.service,sex,salary
331,Prof,B,49,60,Male,192253
132,Prof,A,56,57,Male,76840
195,AssocProf,B,48,53,Male,90000
283,Prof,A,51,51,Male,57800
126,Prof,A,54,49,Male,78162
286,AssocProf,A,49,49,Male,81800
351,Prof,B,56,49,Male,186960
277,Prof,A,52,48,Male,107200
280,Prof,A,46,46,Male,100600
8,Prof,B,45,45,Male,147765
72,Prof,B,45,45,Male,146856
262,Prof,A,45,45,Male,107550
318,Prof,B,46,45,Male,67559
269,Prof,A,47,44,Male,89650
305,Prof,A,46,44,Male,144050
384,Prof,A,44,44,Male,105000
267,Prof,A,43,43,Male,143940
284,Prof,A,45,43,Male,155865
299,Prof,A,49,43,Male,72300
365,Prof,A,43,43,Male,205500
5,Prof,B,40,41,Male,141500
202,Prof,B,40,40,Male,119700
239,Prof,A,46,40,Male,77202
271,Prof,A,42,40,Male,143250
357,Prof,A,49,40,Male,88709
366,Prof,A,43,40,Male,101036
4,Prof,B,45,39,Male,115000
212,Prof,B,39,39,Male,111350
251,Prof,A,39,39,Male,109000
300,AssocProf,A,45,39,Male,70700
44,Prof,B,38,38,Male,231545
94,Prof,B,38,38,Male,166024
230,Prof,A,39,38,Male,133900
281,Prof,A,39,38,Male,136500
336,Prof,B,36,38,Male,151445
343,Prof,B,38,38,Male,114596
352,Prof,B,38,38,Male,93519
379,Prof,A,38,38,Male,150680
87,Prof,B,37,37,Male,152708
114,Prof,A,37,37,Male,104279
243,Prof,A,38,37,Male,102600
328,Prof,B,37,37,Male,151650
20,Prof,A,39,36,Female,137000
70,Prof,B,28,36,Male,91412
118,Prof,A,39,36,Male,117515
296,Prof,A,40,36,Male,97150
301,Prof,A,39,36,Male,88600
389,Prof,A,38,36,Male,119450
225,Prof,A,38,35,Male,87800
265,Prof,A,37,35,Male,99000
314,Prof,A,35,35,Male,100351
345,Prof,B,32,35,Male,150376
358,Prof,A,39,35,Male,107309
18,Prof,A,38,34,Male,103450
74,Prof,B,35,34,Male,92391
199,Prof,B,34,33,Male,189409
207,Prof,B,35,33,Male,162200
261,AssocProf,A,41,33,Male,88600
348,Prof,B,39,33,Male,128250
122,Prof,A,32,32,Male,124309
22,Prof,A,36,31,Male,102580
39,Prof,B,41,31,Male,125196
63,Prof,B,33,31,Male,109785
68,Prof,B,35,31,Male,99418
110,Prof,A,40,31,Male,131205
264,Prof,A,31,31,Male,126000
306,Prof,A,33,31,Male,111350
325,Prof,B,30,31,Male,162221
344,Prof,B,31,31,Male,162150
370,Prof,A,33,31,Male,134690
23,Prof,A,34,30,Male,93904
129,Prof,A,32,30,Male,113278
186,Prof,B,33,30,Male,134000
242,Prof,A,31,30,Male,122875
260,Prof,A,32,30,Male,92550
266,Prof,A,36,30,Male,134800
363,Prof,A,30,30,Male,138771
369,Prof,A,35,30,Male,131950
393,Prof,A,33,30,Male,103106
117,Prof,A,30,29,Male,148500
47,Prof,B,40,28,Male,98193
51,Prof,B,28,28,Male,126621
81,Prof,B,43,28,Male,150743
106,Prof,A,31,28,Male,113543
146,Prof,B,28,28,Male,119015
189,AssocProf,B,28,28,Male,106300
292,Prof,A,32,28,Male,168500
308,Prof,A,31,28,Male,122500
350,Prof,B,27,28,Male,144309
43,Prof,B,40,27,Male,101299
145,Prof,B,27,27,Male,112696
148,Prof,B,27,27,Male,156938
231,Prof,A,29,27,Female,91000
278,Prof,A,31,27,Male,163200
282,Prof,A,37,27,Male,103600
287,Prof,A,28,27,Male,115800
289,Prof,A,29,27,Male,150500
347,Prof,B,41,27,Male,142023
353,Prof,B,26,27,Male,142500
387,Prof,A,29,27,Male,139219
21,Prof,A,31,26,Male,89565
100,Prof,B,41,26,Male,106689
127,Prof,A,28,26,Male,155500
149,Prof,B,36,26,Female,144651
263,Prof,A,31,26,Male,121200
374,Prof,A,30,26,Male,136660
376,Prof,A,28,26,Male,103649
49,Prof,B,25,25,Female,140096
89,Prof,B,25,25,Male,172272
101,Prof,B,42,25,Male,133217
135,Prof,A,35,25,Male,168635
176,Prof,B,28,25,Male,111751
237,Prof,A,25,25,Male,114000
339,Prof,B,32,25,Male,128464
395,Prof,A,42,25,Male,101738
173,Prof,B,37,24,Male,93164
232,AssocProf,A,26,24,Female,73300
7,Prof,B,30,23,Male,175000
19,Prof,A,37,23,Male,124750
27,Prof,A,35,23,Male,134885
42,AssocProf,B,23,23,Male,93418
75,Prof,B,28,23,Male,113398
102,Prof,B,28,23,Male,126933
185,Prof,B,23,23,Male,101000
244,Prof,A,23,23,Male,108200
245,Prof,A,19,23,Male,84273
247,Prof,A,30,23,Male,91100
249,Prof,A,28,23,Male,128800
258,AssocProf,A,30,23,Male,74000
321,Prof,B,24,23,Male,104428
330,Prof,B,23,23,Male,134778
337,Prof,B,35,23,Male,98053
382,Prof,A,27,23,Male,172505
123,Prof,A,24,22,Male,97262
124,AssocProf,A,25,22,Female,62884
125,Prof,A,24,22,Male,96614
184,Prof,B,26,22,Male,150000
